"","ypchtotcor","v13","v29","p6"
"1017",202667,1,3,3
"1018",202667,1,3,3
"1019",244778,1,2,7
"1020",244778,1,2,7
"1021",549792,1,1,10
"1022",549792,1,1,10
"1023",310000,1,1,4
"1024",310000,1,1,4
"1025",181848,3,1,6
"1026",181848,3,1,6
"1027",482169,1,4,5
"1028",482169,1,4,5
"1029",482169,1,4,5
"1030",349445,3,1,5
"1031",349445,3,1,5
"1032",349445,3,1,5
"1033",151109,10,2,6
"1034",151109,10,2,6
"1035",231343,2,99,4
"1036",231343,2,99,4
"1037",920000,2,1,4
"1038",398825,1,4,4
"1039",398825,1,4,4
"1040",399292,2,2,4
"1041",399292,2,2,4
"1042",352917,2,99,4
"1043",352917,2,99,4
"1044",821667,2,2,2
"1045",152778,1,2,5
"1046",152778,1,2,5
"1047",152778,1,2,5
"1048",456388,1,3,6
"1049",456388,1,3,6
"1050",456388,1,3,6
"1051",456388,1,3,6
"1052",402567,1,1,6
"1053",402567,1,1,6
"1054",340960,1,6,10
"1055",340960,1,6,10
"1056",340960,1,6,10
"1057",340960,1,6,10
"1058",340960,1,6,10
"1059",157039,1,99,10
"1060",157039,1,99,10
"1061",157039,1,99,10
"1062",157039,1,99,10
"1063",157039,1,99,10
"1064",366292,9,1,4
"1065",366292,9,1,4
"1066",392953,10,3,5
"1067",392953,10,3,5
"1068",392953,10,3,5
"1069",264151,1,1,7
"1070",264151,1,1,7
"1071",351667,3,99,7
"1072",351667,3,99,7
"1073",351667,3,99,7
"1074",345000,11,1,3
"1075",286667,3,2,5
"1076",286667,3,2,5
"1077",286667,3,2,5
"1078",333981,1,99,5
"1079",333981,1,99,5
"1080",188374,1,3,4
"1081",188374,1,3,4
"1082",188374,1,3,4
"1083",175848,1,2,5
"1084",175848,1,2,5
"1085",175848,1,2,5
"1086",175848,1,2,5
"1087",300399,1,3,6
"1088",300399,1,3,6
"1089",300399,1,3,6
"1090",281302,3,1,6
"1091",281302,3,1,6
"1092",341374,3,2,4
"1093",1348333,1,3,2
"1094",306000,1,1,4
"1095",306000,1,1,4
"1096",282812,1,1,3
"1097",282812,1,1,3
"1098",550000,1,1,5
"1099",183542,3,2,3
"1100",183542,3,2,3
"1101",850000,3,1,5
"1102",4e+05,1,2,4
"1103",4e+05,1,2,4
"1104",479195,3,1,5
"1105",175000,1,3,6
"1106",175000,1,3,6
"1107",1174167,1,1,8
"1108",1174167,1,1,8
